date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:59:14	19207/19207	---M-Z	200	added ('OK')	text/html	etag:%224b07-619bcd4bfeed2-gzip%22	https://egotype.design/work/web/html/kounter/index-monochrome-cd.html	F:/index/egotype.design/work/web/html/kounter/index-monochrome-cd.html	(from )
10:59:15	261/261	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Jul%202025%2005:29:14%20GMT	https://egotype.design/robots.txt		(from )
10:59:15	559/559	---M--	200	added ('OK')	image/png	etag:%2222f-595fcdb5d0e42%22	https://egotype.design/work/web/html/kounter/favicon.png	F:/index/egotype.design/work/web/html/kounter/favicon.png	(from https://egotype.design/work/web/html/kounter/index-monochrome-cd.html)
10:59:16	1852/1852	---M--	200	added ('OK')	image/png	etag:%2273c-595fcdb58d80c%22	https://egotype.design/work/web/html/kounter/apple-touch-icon.png	F:/index/egotype.design/work/web/html/kounter/apple-touch-icon.png	(from https://egotype.design/work/web/html/kounter/index-monochrome-cd.html)
10:59:16	5430/5430	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221536-595fcdb5c143d%22	https://egotype.design/work/web/html/kounter/favicon.ico	F:/index/egotype.design/work/web/html/kounter/favicon.ico	(from https://egotype.design/work/web/html/kounter/index-monochrome-cd.html)
10:59:16	144963/144963	---M-Z	200	added ('OK')	text/css	etag:%2223643-595fcdc1dd20f-gzip%22	https://egotype.design/work/web/html/kounter/css/plugins/bootstrap.min.css	F:/index/egotype.design/work/web/html/kounter/css/plugins/bootstrap.min.css	(from https://egotype.design/work/web/html/kounter/index-monochrome-cd.html)
10:59:16	38219/38219	---M-Z	200	added ('OK')	text/css	etag:%22954b-595fcdc12a672-gzip%22	https://egotype.design/work/web/html/kounter/css/icons/font-awesome.css	F:/index/egotype.design/work/web/html/kounter/css/icons/font-awesome.css	(from https://egotype.design/work/web/html/kounter/index-monochrome-cd.html)
10:59:16	44005/44005	---M-Z	200	added ('OK')	text/css	etag:%22abe5-595fcdc15b3c3-gzip%22	https://egotype.design/work/web/html/kounter/css/icons/linea.css	F:/index/egotype.design/work/web/html/kounter/css/icons/linea.css	(from https://egotype.design/work/web/html/kounter/index-monochrome-cd.html)
10:59:17	46798/46798	---M-Z	200	added ('OK')	text/css	etag:%22b6ce-595fcdc2294e8-gzip%22	https://egotype.design/work/web/html/kounter/css/plugins/loaders.min.css	F:/index/egotype.design/work/web/html/kounter/css/plugins/loaders.min.css	(from https://egotype.design/work/web/html/kounter/index-monochrome-cd.html)
10:59:17	4093/4093	---M-Z	200	added ('OK')	text/css	etag:%22ffd-595fcdc260f9b-gzip%22	https://egotype.design/work/web/html/kounter/css/plugins/photoswipe.css	F:/index/egotype.design/work/web/html/kounter/css/plugins/photoswipe.css	(from https://egotype.design/work/web/html/kounter/index-monochrome-cd.html)
10:59:17	11183/11183	---M-Z	200	added ('OK')	text/css	etag:%222baf-595fcdc2999ef-gzip%22	https://egotype.design/work/web/html/kounter/css/icons/photoswipe/icons.css	F:/index/egotype.design/work/web/html/kounter/css/icons/photoswipe/icons.css	(from https://egotype.design/work/web/html/kounter/index-monochrome-cd.html)
10:59:17	20567/20567	---M-Z	200	added ('OK')	text/css	etag:%225057-595fcdc119ccd-gzip%22	https://egotype.design/work/web/html/kounter/css/style.css	F:/index/egotype.design/work/web/html/kounter/css/style.css	(from https://egotype.design/work/web/html/kounter/index-monochrome-cd.html)
10:59:18	1119/1119	---M-Z	200	added ('OK')	text/css	etag:%2245f-595fcdc0f1c1f-gzip%22	https://egotype.design/work/web/html/kounter/css/responsive.css	F:/index/egotype.design/work/web/html/kounter/css/responsive.css	(from https://egotype.design/work/web/html/kounter/index-monochrome-cd.html)
10:59:18	1130/1130	---M--	200	added ('OK')	image/png	etag:%2246a-595fcddf02b04%22	https://egotype.design/work/web/html/kounter/images/logo.png	F:/index/egotype.design/work/web/html/kounter/images/logo.png	(from https://egotype.design/work/web/html/kounter/index-monochrome-cd.html)
10:59:18	88891/88891	---M--	200	added ('OK')	image/jpeg	etag:%2215b3b-595fcdda33240%22	https://egotype.design/work/web/html/kounter/images/about-image-9-lg.jpg	F:/index/egotype.design/work/web/html/kounter/images/about-image-9-lg.jpg	(from https://egotype.design/work/web/html/kounter/index-monochrome-cd.html)
10:59:18	21025/21025	---M--	200	added ('OK')	image/jpeg	etag:%225221-595fcdda8433b%22	https://egotype.design/work/web/html/kounter/images/about-image-9.jpg	F:/index/egotype.design/work/web/html/kounter/images/about-image-9.jpg	(from https://egotype.design/work/web/html/kounter/index-monochrome-cd.html)
10:59:20	82969/82969	---M--	200	added ('OK')	image/jpeg	etag:%2214419-595fcdd227660%22	https://egotype.design/work/web/html/kounter/images/about-image-10.jpg	F:/index/egotype.design/work/web/html/kounter/images/about-image-10.jpg	(from https://egotype.design/work/web/html/kounter/index-monochrome-cd.html)
10:59:20	198455/198455	---M--	200	added ('OK')	image/jpeg	etag:%2230737-595fcdd1c8a9f%22	https://egotype.design/work/web/html/kounter/images/about-image-10-lg.jpg	F:/index/egotype.design/work/web/html/kounter/images/about-image-10-lg.jpg	(from https://egotype.design/work/web/html/kounter/index-monochrome-cd.html)
10:59:20	77727/77727	---M--	200	added ('OK')	image/jpeg	etag:%2212f9f-595fcdd2295a1%22	https://egotype.design/work/web/html/kounter/images/about-image-11-lg.jpg	F:/index/egotype.design/work/web/html/kounter/images/about-image-11-lg.jpg	(from https://egotype.design/work/web/html/kounter/index-monochrome-cd.html)
